epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771645454,2026-02-21T03:44:14Z,200,364.139,1,0,
1771645459,2026-02-21T03:44:19Z,200,237.745,1,0,
1771645465,2026-02-21T03:44:25Z,200,211.905,1,0,
1771645470,2026-02-21T03:44:30Z,200,266.942,1,0,
1771645476,2026-02-21T03:44:36Z,200,317.977,1,0,
1771645481,2026-02-21T03:44:41Z,200,243.883,1,0,
1771645487,2026-02-21T03:44:47Z,200,210.581,1,0,
1771645492,2026-02-21T03:44:52Z,200,195.851,1,0,
1771645497,2026-02-21T03:44:57Z,200,192.709,1,0,
1771645503,2026-02-21T03:45:03Z,200,240.241,1,0,
1771645508,2026-02-21T03:45:08Z,200,464.932,1,0,
1771645514,2026-02-21T03:45:14Z,200,260.663,1,0,
1771645519,2026-02-21T03:45:19Z,200,286.269,1,0,
1771645525,2026-02-21T03:45:25Z,200,410.563,1,0,
1771645531,2026-02-21T03:45:31Z,200,322.091,1,0,
1771645536,2026-02-21T03:45:36Z,200,181.808,1,0,
1771645541,2026-02-21T03:45:41Z,200,397.116,1,0,
1771645547,2026-02-21T03:45:47Z,200,184.651,1,0,
1771645552,2026-02-21T03:45:52Z,200,257.169,1,0,
1771645558,2026-02-21T03:45:58Z,200,329.039,1,0,
1771645563,2026-02-21T03:46:03Z,200,293.867,1,0,
1771645569,2026-02-21T03:46:09Z,200,505.700,1,0,
1771645575,2026-02-21T03:46:15Z,200,278.220,1,0,
1771645580,2026-02-21T03:46:20Z,200,346.720,1,0,
1771645586,2026-02-21T03:46:26Z,200,571.662,1,0,
1771645591,2026-02-21T03:46:31Z,200,441.880,1,0,
1771645597,2026-02-21T03:46:37Z,200,776.044,1,0,
1771645603,2026-02-21T03:46:43Z,200,381.660,1,0,
1771645609,2026-02-21T03:46:49Z,200,322.218,1,0,
1771645614,2026-02-21T03:46:54Z,200,286.780,1,0,
1771645620,2026-02-21T03:47:00Z,200,217.795,1,0,
1771645625,2026-02-21T03:47:05Z,200,386.354,1,0,
1771645631,2026-02-21T03:47:11Z,200,380.673,1,0,
1771645636,2026-02-21T03:47:16Z,200,519.699,1,0,
1771645642,2026-02-21T03:47:22Z,200,473.773,1,0,
1771645648,2026-02-21T03:47:28Z,200,347.943,1,0,
1771645653,2026-02-21T03:47:33Z,200,184.920,1,0,
1771645659,2026-02-21T03:47:39Z,200,379.408,1,0,
1771645664,2026-02-21T03:47:44Z,200,303.169,1,0,
1771645670,2026-02-21T03:47:50Z,200,207.403,1,0,
1771645675,2026-02-21T03:47:55Z,200,546.016,1,0,
1771645681,2026-02-21T03:48:01Z,200,325.893,1,0,
1771645687,2026-02-21T03:48:07Z,200,319.854,1,0,
1771645692,2026-02-21T03:48:12Z,200,350.332,1,0,
1771645698,2026-02-21T03:48:18Z,200,414.642,1,0,
1771645703,2026-02-21T03:48:23Z,200,245.543,1,0,
1771645709,2026-02-21T03:48:29Z,200,283.825,1,0,
1771645714,2026-02-21T03:48:34Z,200,174.037,1,0,
1771645720,2026-02-21T03:48:40Z,200,238.659,1,0,
1771645725,2026-02-21T03:48:45Z,200,286.477,1,0,
1771645730,2026-02-21T03:48:50Z,200,188.783,1,0,
1771645736,2026-02-21T03:48:56Z,200,264.229,1,0,
1771645741,2026-02-21T03:49:01Z,200,408.281,1,0,
1771645747,2026-02-21T03:49:07Z,200,304.201,1,0,
1771645752,2026-02-21T03:49:12Z,200,262.102,1,0,
1771645758,2026-02-21T03:49:18Z,200,577.510,1,0,
1771645764,2026-02-21T03:49:24Z,200,256.340,1,0,
1771645769,2026-02-21T03:49:29Z,200,421.983,1,0,
1771645775,2026-02-21T03:49:35Z,200,410.700,1,0,
1771645781,2026-02-21T03:49:41Z,200,236.455,1,0,
1771645786,2026-02-21T03:49:46Z,200,538.612,1,0,
1771645792,2026-02-21T03:49:52Z,200,254.092,1,0,
1771645797,2026-02-21T03:49:57Z,200,338.649,1,0,
1771645803,2026-02-21T03:50:03Z,200,183.014,1,0,
1771645808,2026-02-21T03:50:08Z,200,286.958,1,0,
1771645814,2026-02-21T03:50:14Z,200,309.533,1,0,
1771645819,2026-02-21T03:50:19Z,200,286.403,1,0,
1771645825,2026-02-21T03:50:25Z,200,226.169,1,0,
1771645830,2026-02-21T03:50:30Z,200,469.326,1,0,
1771645836,2026-02-21T03:50:36Z,200,393.553,1,0,
1771645841,2026-02-21T03:50:41Z,200,346.926,1,0,
1771645847,2026-02-21T03:50:47Z,200,425.328,1,0,
1771645853,2026-02-21T03:50:53Z,200,243.219,1,0,
1771645858,2026-02-21T03:50:58Z,200,478.873,1,0,
1771645864,2026-02-21T03:51:04Z,200,483.038,1,0,
1771645869,2026-02-21T03:51:09Z,200,186.843,1,0,
1771646827,2026-02-21T04:07:07Z,000,83.156,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771646832,2026-02-21T04:07:12Z,000,529.333,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771646838,2026-02-21T04:07:18Z,000,1369.205,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771646845,2026-02-21T04:07:25Z,200,1789.562,1,0,
1771646852,2026-02-21T04:07:32Z,200,319.813,1,0,
1771646857,2026-02-21T04:07:37Z,200,508.081,1,0,
1771646863,2026-02-21T04:07:43Z,200,310.522,1,0,
1771646868,2026-02-21T04:07:48Z,200,307.990,1,0,
1771646874,2026-02-21T04:07:54Z,200,334.006,1,0,
1771646879,2026-02-21T04:07:59Z,200,1202.973,1,0,
1771647843,2026-02-21T04:24:03Z,000,151.446,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771647848,2026-02-21T04:24:08Z,000,2050.574,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
